city,city_ascii,state_id,state_name,county_name,lat,lng
Wind Point,Wind Point,WI,Wisconsin,Racine,42.7814,-87.7721
New Lisbon,New Lisbon,WI,Wisconsin,Juneau,43.8781,-90.1624
Groton,Groton,SD,South Dakota,Brown,45.4517,-98.1
Eaton,Eaton,IN,Indiana,Delaware,40.3218,-85.3591
Shoshone,Shoshone,ID,Idaho,Lincoln,42.9369,-114.4055
Burnham,Burnham,PA,Pennsylvania,Mifflin,40.6352,-77.5631
Baywood Park,Baywood Park,CA,California,San Mateo,37.5292,-122.3417
Linntown,Linntown,PA,Pennsylvania,Union,40.9564,-76.9004
Powells Crossroads,Powells Crossroads,TN,Tennessee,Marion,35.1849,-85.4848
Cleveland,Cleveland,WI,Wisconsin,Manitowoc,43.9177,-87.7469
Forest Ranch,Forest Ranch,CA,California,Butte,39.8952,-121.6704
Ringgold,Ringgold,LA,Louisiana,Bienville,32.3261,-93.2836
Laymantown,Laymantown,VA,Virginia,Botetourt,37.3628,-79.8524
De Soto,De Soto,IL,Illinois,Jackson,37.8163,-89.2269
Black Point-Green Point,Black Point-Green Point,CA,California,Marin,38.1121,-122.5194
Hawthorne,Hawthorne,FL,Florida,Alachua,29.5938,-82.0944
Ocean Gate,Ocean Gate,NJ,New Jersey,Ocean,39.9269,-74.1348
Waskom,Waskom,TX,Texas,Harrison,32.4766,-94.0646
Winnsboro Mills,Winnsboro Mills,SC,South Carolina,Fairfield,34.3561,-81.0708
Bellwood,Bellwood,PA,Pennsylvania,Blair,40.6007,-78.3334
Paxtang,Paxtang,PA,Pennsylvania,Dauphin,40.2623,-76.8342
Shreve,Shreve,OH,Ohio,Wayne,40.6813,-82.0217
Waterville,Waterville,MN,Minnesota,Le Sueur,44.2235,-93.5746
Braham,Braham,MN,Minnesota,Isanti,45.7223,-93.1717
Amboy,Amboy,WA,Washington,Clark,45.9122,-122.4796
Deshler,Deshler,OH,Ohio,Henry,41.2074,-83.9055
Highfill,Highfill,AR,Arkansas,Benton,36.2767,-94.3237
Vincent,Vincent,AL,Alabama,Shelby,33.3849,-86.4087
Tremont,Tremont,PA,Pennsylvania,Schuylkill,40.6302,-76.3912
Le Grand,Le Grand,CA,California,Merced,37.2288,-120.254
